time,avgAcc,velocity,,
0.00530117,-0.145084746,-0.000769119,,59
0.01526917,-0.147586207,-0.002253519,,58
0.02523717,-0.150175439,-0.003790003,,57
0.03520617,-0.152857143,-0.005381515,,56
0.04517417,-0.155636364,-0.007030744,,55
0.05514317,-0.158518519,-0.008741214,,54
0.06511117,-0.161509434,-0.010516068,,53
0.07508017,-0.164615385,-0.012359351,,52
0.08504817,-0.167843137,-0.014274752,,51
0.09501717,-0.1712,-0.01626694,,50
0.10498517,-0.174693878,-0.018340266,,49
0.11495417,-0.178333333,-0.02050016,,48
0.12492217,-0.18212766,-0.022751782,,47
0.13489017,-0.186086957,-0.025101301,,46
0.14485917,-0.190222222,-0.027555433,,45
0.15482717,-0.194545455,-0.030120922,,44
0.16479617,-0.199069767,-0.032805935,,43
0.17476417,-0.203809524,-0.035618602,,42
0.18473317,-0.208780488,-0.038568681,,41
0.19470204,-0.214,-0.041666237,,40
0.20467104,-0.219487179,-0.044922669,,39
0.21463904,-0.225263158,-0.048350268,,38
0.22460704,-0.231351351,-0.051963142,,37
0.23457604,-0.237777778,-0.05577697,,36
0.24454404,-0.244571429,-0.059808485,,35
0.25451304,-0.251764706,-0.064077401,,34
0.26448104,-0.259393939,-0.068604779,,33
0.27445004,-0.2675,-0.073415386,,32
0.28441804,-0.276129032,-0.078536078,,31
0.29438704,-0.285333333,-0.083998435,,30
0.30435504,-0.295172414,-0.089837212,,29
0.31432404,-0.305714286,-0.096093349,,28
0.32429204,-0.317037037,-0.102812587,,27
0.33426104,-0.329230769,-0.110049019,,26
0.34422904,-0.3424,-0.117864023,,25
0.35419704,-0.356666667,-0.126330278,,24
0.36416604,-0.372173913,-0.1355331,,23
0.37413404,-0.389090909,-0.145572154,,22
0.38410304,-0.407619048,-0.156567715,,21
0.39407104,-0.428,-0.168662405,,20
0.40404004,-0.450526316,-0.182030671,,19
0.41400804,-0.475555556,-0.196883823,,18
0.42397704,-0.503529412,-0.21348491,,17
0.43394504,-0.535,-0.232160596,,16
0.44391404,-0.570666667,-0.253326945,,15
0.45388204,-0.611428571,-0.277516447,,14
0.46385004,-0.658461538,-0.305427411,,13
0.47381904,-0.713333333,-0.337990915,,12
0.48378704,-0.778181818,-0.376474278,,11
0.49375604,-0.856,-0.42265517,,10
0.50372404,-0.951111111,-0.479097531,,9
0.51369304,-1.07,-0.549651553,,8
0.52366104,-1.222857143,-0.640362643,,7
0.53363004,-1.426666667,-0.76131219,,6
0.54359804,-1.712,-0.930639844,,5
0.55356704,-2.14,-1.184633466,,4
0.56353504,-2.853333333,-1.607953314,,3
0.57350304,-4.28,-2.454593011,,2
0.58347204,-8.56,-4.994520662,,1